full_name,external_appeal_score
zzq1234567890/epg,0.34
Axthauvin/epitrace-packs,0.335
ivsemenkov/EEGSimpleNet,0.335
loonghao/vx,0.36
interp-reasoning/thought-anchors.com,0.335
DNATechByNaldoDJ/fw.webex,0.37
Kone457/Shizuka-AI,0.37500000000000006
abusaeeidx/CricHd-playlists-Auto-Update-permanent,0.475
RavenHogWarts/obsidian-ace-code-editor,0.37
Sage-77/V2ray-configs,0.405
wsdjeg/nvim-config,0.335
hypervel/components,0.4875
SukkaLab/ruleset.skk.moe,0.405
luo-ross/MultiVerseKit,0.37500000000000006
FlavorfulGecko5/EntityAtlan,0.335
taolson/Admiran,0.405
xcontcom/xcontcom,0.37
Glaube-TY/siyuan-homepage,0.335
Rushikeshnimkar/portfolio2025,0.37
Iteranya/anita-cms,0.41000000000000003
FLYCOM-E/ClearBox,0.335
chrisdoc/hevy-mcp,0.4575
tastetastetaste/musictaste,0.37500000000000006
giantswarm/muster,0.36
96flashbacks/showfloor,0.37500000000000006
theajmalrazaq/superflex,0.37
Cybermonit/RSS-Feed,0.335
klsdf/GreenResourcesManager,0.335
JAG-GW/GwAu3,0.405
sevcator/5ubscrpt10n,0.405
vfan/go-web-mvc,0.3
syrianzone/syrianzone,0.37500000000000006
vonajs/vona,0.37
ohkami-rs/sqlx-d1,0.37
Yorick-Ryu/deep-share,0.405
RinLit-233-shiroko/Class-Widgets-2,0.38750000000000007
santawho/oeffi-ng,0.36
eWloYW8/ZJU-classroom-stream,0.335
pkgforge-community/AM-HF-SYNC,0.335
sendmebits/ghostmail-ios,0.335
spzbrnmrc/Tiny-Vedas,0.37
Rink37/BOBJECT_engine,0.36
handeveloper1/Proxy,0.335
kmontag/macher,0.46499999999999997
Monochrome-Inc/ZombiePanic-HL,0.37
m-bwela/m-bwela,0.3
BossSloth/SteamHunter-plugin,0.3
xiaoniucode/etp,0.405
voocel/mas,0.41000000000000003
Luiz-Alcantara/Neural-Pixel,0.335
spongebob888/shadowquic,0.45499999999999996
DefiTuna/tuna-sdk,0.3
xsSplater/Darktide_Enhanced_Descriptions_BETA,0.34
skyline69/balatro-mod-index,0.5225
Glauedson/Glauedson,0.37
FidelityFramework/Firefly,0.37
NekoNyangYee/taehyun-blog-renewal,0.34750000000000003
michelinus/api,0.335
sakura-talk-kingdum/sakurabot,0.405
growingio/design-system,0.265
tigerbeetle/devhubdb,0.30500000000000005
garylin0969/trend-scraper,0.335
henrryqr/portafolio-programacion-numerica-2025,0.3
flarom/cohesion,0.335
kissenpvp/Pulvinar,0.265
Setout8/Book-Pen-Book,0.5475
turgut090/traffic,0.265
zonary123/CobbleUtils,0.37
jabbott-iii/Udemy-Portfolio-Projects,0.3
MrAbolfazlNorouzi/iran-configs,0.335
gomlet674/G-MON-Hub,0.265
guess/claude_code,0.37
manyeyes/ManySpeech,0.37
EduJonathan/aprendendoCpp,0.3
nschainblatt/sicp,0.265
atopos31/llmio,0.49
O0111lqczeadxws/rss-scanner,0.265
aruljohn/crypto-prices,0.3
FireStar0507/BingWallpaper,0.3
soui4/swinx,0.30500000000000005
cdilga/multiplayer-racer,0.3
yihad168/tv,0.34
AdeelWajid/iptv_validated_list,0.3
codeby-umar/codeby-umar,0.3
Karankoli17/LoveConfessionSite,0.265
alantang1977/aTV,0.30500000000000005
zeldrisho/scoop-bucket,0.43999999999999995
kandeng/blender_python_tutorial,0.3
opedromartinss/cotacoes-cafe,0.265
indmdev/Free-Telegram-Store-Bot,0.44500000000000006
davidfue/RIF-Layoff-Dataset,0.3
CodaBool/stargazer,0.265
tablackburn/ScheduledTasksManager,0.3
vizoros/peer,0.405
cardenluo/ComfyUI-Apt_Preset,0.45499999999999996
BA-CalderonMorales/my-life-as-a-dev,0.335
yanghui1-arch/mwin,0.3
RaydenLabs/genisys-data,0.3
SecondOrder-fun/sof-alpha,0.3
media-stack/gb2b-lead-finder,0.3
wavey0x/open-data,0.265
HAPPY-script/BLOX_FRUIT,0.265
Eyefyre/NYT-Connections-Answers,0.335
angelistaxin/auto-commit-angelistaxin-60s,0.265
nakulmitra/nakulmitra,0.265
ethan-yz-hao/github-stats,0.3
win-wiz/emoji-click,0.3
KeckObservatory/mKTL,0.34
d0midigi/hackherway,0.335
daniel7grant/time,0.265
harys722/github-daily-autocommit,0.43999999999999995
TencentCloudBase/CloudBase-AI-ToolKit,0.5599999999999999
soenneker/soenneker.extensions.httprequests,0.335
sss97133/nuke,0.3125
indmdev/indmshopbot,0.41000000000000003
fryagbye/tinderboxwithquarto,0.37500000000000006
XStrikers/Discord-Bot,0.34
ACANX/MavenArtifact,0.3
adcontextprotocol/adcp,0.45499999999999996
fraudiay79/strm,0.265
Wen-Xi-Goh/taxi-locations,0.265
bigbeartechworld/big-bear-universal-apps,0.30500000000000005
tuxracer/matrix-fediverse-bridge,0.335
marajadesantelmo/dassa_operativo_stream,0.3
bigdargon/hostsVN-DeadDomainsLinter,0.265
pw56/web-puri-project,0.34750000000000003
markvaaz/ScarletCore,0.37
xx25/perestroikabbs,0.265
Kanamo2525/prompt101,0.335
dpangestuw/Free-Proxy,0.44500000000000006
ichenc/ichenc.github.io,0.3
AnterCreeper/pdaltmode,0.3
theneworacle/theneworacle.github.io,0.29000000000000004
008Amonra/45dgof8_ComplianceSuite,0.3
cloudplains/jnsj,0.29000000000000004
tscibilia/home-ops,0.335
prototbh/TEMP,0.265
malcolmramirez/supercollider,0.3
RuningFastChack/auto-bangumi,0.405
MangaBoya/mangaboya-nsfw,0.3
haoboww/RFGENS,0.265
bioinfo-gao/Python_Omics_DS,0.3
bettermyself/ai_learn,0.265
ya950/Agu-analysis,0.37
coder/mux,0.55
yanivsun/PushPaper,0.265
seehasung/SHS_Product_DB,0.265
yuler/rails-starter,0.29000000000000004
BazilSuhail/Custom-Compiler,0.335
dmarx/papers-feed,0.325
GaiaEyesHQ/gaiaeyes-media,0.3
cjchandler/last_update_repo,0.3
bq2015/FreeProxies,0.47
andykimpe1/andykimpe1.github.io,0.3
bq2015/FreeProxies,0.47
andykimpe1/andykimpe1.github.io,0.3
743859910/AdGuard_Home_Official-built-in_Rules,0.3
noworneverev/leetcode-api,0.44500000000000006
pixperk/chug,0.3
tyang816/tyang816,0.265
twitOne/RPZ-Blocklists,0.405
jhelvy/potus-econ-scorecard,0.265
Dvd848/wiki-game,0.335
nebula-site/nebula-site.github.io,0.34
pstAmbition/DailyArXiv_Multimodal,0.43000000000000005
MSCoreLab/BYU-Core-MS-Lab,0.335
saveas446/LegacyBuilder,0.3
yylt/tul,0.43999999999999995
liujunxiang0076/liu-site,0.265
DeltaPhi0/DeltaPhi0,0.335
Saleh7/BadTrafficData,0.3
KwanWaiPang/Awesome-VLN,0.335
constructive-io/constructive,0.36
pkgforge/bin,0.3
suptur/DNS-Filters,0.265
743859910/AdGuard_Home_Thirdparty_Rules,0.3
schardosin/astonish,0.3
cysyiu/WeatherMap,0.265
vpeinado263/infinito-jg,0.265
Xovee/cs-conf-stats,0.37
rix4uni/resolvers,0.41000000000000003
genkin-he/news,0.37
projectbluefin/documentation,0.45249999999999996
O-VanTho-programmer/ClassManagement,0.265
dxiv/dxiv,0.37
Misaka-blog/sfw-client,0.335
Sirraide/libbase,0.34
EzCE/ScreenSaver-CE,0.3
ddthien-coder/rustdesk_server_manager,0.3
aakalaw/aakalaw.github.io,0.3
stefanpejcic/OpenPanel,0.5725
breadgrocery/bettergi-script-toolchain,0.3
1564307973/GC2000,0.265
soenneker/soenneker.utils.file.download,0.335
divengine/paramaribo-info-2025,0.3
argosnothing/nixos-config,0.37
VatsalyaGautam/VatsalyaGautam,0.335
netlas-io/netlas-free-iocs,0.3
ThuanyKamers/ThuanyKamers,0.265
asfaload/checksums,0.3
c2fc2f/dotfiles,0.335
ConradIrwin/conl-lsp,0.3
takutakahashi/agentapi-proxy,0.3
IAINBone-Data/layanan,0.3
mcneds/Album-Poster-Generator,0.3
ugliestie/wplace-tomsk,0.43999999999999995
mochouaaaaa/nix-config,0.3
SoupDevs/BooruRamen,0.34750000000000003
PakmanGames/ruby-mastermind,0.3
frankrichardhall/T3rn-Executor-bot,0.335
frankrichardhall/Units-Network-Airdrop-bot,0.335
frankrichardhall/Swisstronik-ERC721,0.335
frankrichardhall/T3rn-Airdrop-bot,0.43999999999999995
frankrichardhall/Trailblazers-Taiko-Airdrop-bot,0.335
frankrichardhall/TEA-Testnet-Airdrop-bot,0.335
xiaobuding520/lunli,0.265
frankrichardhall/Rise-Chain-Airdrop-bot,0.335
frankrichardhall/Particle-Pioneer-Testnet-bot,0.335
frankrichardhall/Nillion-Airdrop-bot,0.335
frankrichardhall/Sowing-Taker-Farming-Airdrop-bot,0.43999999999999995
frankrichardhall/OroSwap-Testnet-Airdrop-bot,0.43999999999999995
frankrichardhall/Monad-Curvance-Pump4Gains-bot,0.37500000000000006
gitrecon1455/fresh-proxy-list,0.405
frankrichardhall/Octra-Labs-Client-Installation-bot,0.43999999999999995
frankrichardhall/Monad-Testnet-bot,0.335
frankrichardhall/PlumeNetwork-Testnet-bot,0.43999999999999995
frankrichardhall/Humanity-Protocol-Airdrop-bot,0.37
drussell23/JARVIS,0.325
Indrudge/Indrudge,0.335
frankrichardhall/Izumi-Finance-Trailblazers-Taiko-Airdrop-bot,0.37500000000000006
frankrichardhall/Kite-AI-Airdrop-bot,0.335
frankrichardhall/Gotchipus-NFT-Pharos-Network-Airdrop-bot,0.335
frankrichardhall/Huddle01-Testnet-Airdrop-bot,0.335
KotomiMitsutakaOgawa/AutoGreen,0.265
LEOCAR0210/Solver-App,0.3
glycerine/rpc25519,0.335
FinnHeathfield/Soundbath-2.1,0.265
henrikbykvist/fpl-feed-raakens-disipler,0.265
Nat3z/OpenGameInstaller,0.37
hafrey1/GeoLite-IP,0.34
soenneker/soenneker.semantickernel.pool,0.335
surisuririsu/gakumas-tools,0.4175
Damocles-fr/PPJF,0.37
Pedrohss2/cardapio-backend,0.265
Zanue/MDT-dist,0.335
t23-02/bongda,0.265
paul-russo/blots-lang,0.335
robertringler/QRATUM,0.29000000000000004
petr0leum/github_actions_dashboard,0.405
rspack-contrib/rspack-dev-server,0.38249999999999995
kungbirdmed/truthverify-site,0.3
Gabrieltrinidad0101/informacion-dominicana,0.265
wanghz/Honeybee,0.37500000000000006
indmdev/Free-Telegram-Store-Bot,0.44500000000000006
penhandev/AutoAiVPN,0.335
BigheadSMZ/Zelda-LA-DX-HD-Updated,0.44249999999999995
drmlive/fancode-live-events,0.34
indmdev/indmshopbot,0.41000000000000003
Supremekirb/EBME,0.335
winterofhell/fedora-optimizations,0.37
flarom/cohesion,0.335
chainapsis/oko,0.34750000000000003
Setout8/Book-Pen-Book,0.5475
MrAbolfazlNorouzi/iran-configs,0.335
guess/claude_code,0.37
manyeyes/ManySpeech,0.37
atopos31/llmio,0.49
yihad168/tv,0.34
AdeelWajid/iptv_validated_list,0.3
codeby-umar/codeby-umar,0.3
cardenluo/ComfyUI-Apt_Preset,0.45499999999999996
Eyefyre/NYT-Connections-Answers,0.335
adcontextprotocol/adcp,0.45499999999999996
dpangestuw/Free-Proxy,0.44500000000000006
MangaBoya/mangaboya-nsfw,0.3
bq2015/FreeProxies,0.47
noworneverev/leetcode-api,0.44500000000000006
pixperk/chug,0.3
KwanWaiPang/Awesome-VLN,0.335
constructive-io/constructive,0.36
Xovee/cs-conf-stats,0.37
rix4uni/resolvers,0.41000000000000003
projectbluefin/documentation,0.45249999999999996
dxiv/dxiv,0.37
Misaka-blog/sfw-client,0.335
argosnothing/nixos-config,0.37
netlas-io/netlas-free-iocs,0.3
gitrecon1455/fresh-proxy-list,0.405
frankrichardhall/Humanity-Protocol-Airdrop-bot,0.37
glycerine/rpc25519,0.335
Nat3z/OpenGameInstaller,0.37
surisuririsu/gakumas-tools,0.4175
Damocles-fr/PPJF,0.37
Zanue/MDT-dist,0.335
paul-russo/blots-lang,0.335
rspack-contrib/rspack-dev-server,0.38249999999999995
mirtlecn/rime-radical-pinyin,0.46499999999999997
iplocate/free-proxy-list,0.37
4Freye/panelsplit,0.37
qazzxxx/cloudimgs,0.42999999999999994
ModelEngine-Group/DataMate,0.49
gaoyakang/online_logisim,0.37500000000000006
gslege/CloudflareIP,0.57
GOATNetwork/goat,0.43999999999999995
mrshmllow/tolerable-nvim-nix,0.37
lalifeier/IPTV,0.43500000000000005
alantang1977/iptv_api,0.37500000000000006
nene504273/Monkey-D-luffy-Bot-MD,0.335
743859910/Typora,0.37
ChHsiching/GitHub-Chinese-Top-Charts-Classified,0.46499999999999997
sanity-io/sdk,0.36
Wirili/IPTV,0.395
databay-labs/free-proxy-list,0.405
cluntop/tvbox,0.47
743859910/VPN,0.335
liquidz/elin,0.46499999999999997
EHylands/QolsysController,0.37
Danialsamadi/v2go,0.37
facebookexperimental/free-threading-benchmarking,0.335
broadinstitute/trexplorer-catalog,0.335
MHaggis/ClickGrab,0.46499999999999997
vitoplantamura/HackerNewsRemovals,0.42999999999999994
junjunlab/omicScope,0.37
Animenosekai/japanterebi-xmltv,0.4175
weapp-vite/weapp-vite,0.46499999999999997
onikun94/obsidian-local-rss,0.3
sholdee/home-ops,0.37
drmlive/sliv-live-events,0.34
Ceasar128/MultronFguardian,0.335
imdypha/penghijauan,0.265
alejandrofontan/AnyFeature-VSLAM,0.46499999999999997
bangumi/Bangumi-iOS,0.335
gornskew/skewed-emacs,0.335
acuitymd/silk-chiffon,0.34750000000000003
kalbasit/ncps,0.45499999999999996
lipsumai/Best-AI-Tools,0.37
LejuRobotics/kuavo-ros-opensource,0.34
siganberg/ncSender,0.34
AMD-AGI/Primus-SaFE,0.335
espressif/esp-webrtc-solution,0.42
reall3d-com/Reall3dViewer,0.46499999999999997
Tworlizm/Email-Bomber-SMTP,0.335
IsThisMeta/zagreus,0.37
Eric86777/vps-tcp-tune,0.42999999999999994
ebrasha/abdal-proxy-hub,0.37
mcsrainbow/chinese-internet-jargon,0.335
mcsrainbow/chinese-internet-jargon,0.335
laura-a-n-n/silent-hill-museum,0.37
cmackenzie1/torii-rs,0.4775
abusaeeidx/IPTV-Scraper-Zilla,0.47
AndrewChien/Mir2Client_VorticeDX11,0.34
10ium/ScrapeAndCategorize,0.34
numtide/nix-auth,0.38249999999999995
ebrasha/free-v2ray-public-list,0.46499999999999997
cubist38/mlx-openai-server,0.49
zhi35/iptv,0.42999999999999994
orzice/DeltaForcePrice,0.37
datablueprint/api,0.37
paiml/rust-mcp-sdk,0.38249999999999995
Galeax/CVE2CAPEC,0.46499999999999997
Oumu33/snmp-mib-ui,0.34
Wang-Phil/Wang-Phil,0.335
WordPress/secure-custom-fields,0.43500000000000005
zzzteph/Dutch_Gov_Scope,0.37
baiwumm/next-ultra,0.37
numtide/llm-agents.nix,0.4775
yuanxiawan/cfipv4db,0.43999999999999995
