full_name,code_health_score
smartscripts-nl/dynamic-xray,35.65248209846963
lonerOrz/loneros-nixos,11.821250962305685
poetaster/arduinoMI,44.1970647664069
RustNSparks/rocm-rs,60.89320388349515
anzhiyu-c/anheyu-app-frontend,23.268201074268767
NikhilRout/TheGEMMCoreProject,27.00403812670952
bzggnveee/There-is-nothing-here,16.384502873247357
Belphemur/night-routine,54.10183255172201
niksedk/subtitleedit-avalonia,39.20713435758076
prateekrajput08/Arcade-Google-Cloud-Labs,23.749127522953046
isw866/iptv,15.79443589303105
vlang/gui,31.697008413681676
gfpcom/free-proxy-list,53.985466834174346
wmigor/godot-aircraft-plugin,17.676913466014085
zzq1234567890/epg,23.368323828185513
Axthauvin/epitrace-packs,38.52454352619703
ivsemenkov/EEGSimpleNet,12.421250962305685
loonghao/vx,50.21987104269416
interp-reasoning/thought-anchors.com,33.24028315468978
DNATechByNaldoDJ/fw.webex,40.86580301814968
Kone457/Shizuka-AI,32.067870964226984
abusaeeidx/CricHd-playlists-Auto-Update-permanent,22.311841107662254
RavenHogWarts/obsidian-ace-code-editor,48.5304490862571
Sage-77/V2ray-configs,21.94288795077135
wsdjeg/nvim-config,22.140302516460217
hypervel/components,24.462182955206103
SukkaLab/ruleset.skk.moe,19.501408638260983
luo-ross/MultiVerseKit,32.23617060941832
FlavorfulGecko5/EntityAtlan,35.343287662505205
taolson/Admiran,11.421250962305685
xcontcom/xcontcom,22.682346928607956
Glaube-TY/siyuan-homepage,29.813619809922148
Rushikeshnimkar/portfolio2025,42.631827644380685
Iteranya/anita-cms,19.961228329038835
FLYCOM-E/ClearBox,33.63703855852995
chrisdoc/hevy-mcp,51.13996682666717
tastetastetaste/musictaste,46.437358931489115
giantswarm/muster,43.85610306779731
96flashbacks/showfloor,24.666061704375593
theajmalrazaq/superflex,41.50366742836801
Cybermonit/RSS-Feed,8.722221836092093
klsdf/GreenResourcesManager,10.421250962305685
JAG-GW/GwAu3,14.694800927513434
sevcator/5ubscrpt10n,36.683034062855754
vfan/go-web-mvc,46.34919322256529
syrianzone/syrianzone,45.847291951272815
vonajs/vona,51.43274301271451
ohkami-rs/sqlx-d1,56.35550691781162
Yorick-Ryu/deep-share,41.38115855952726
RinLit-233-shiroko/Class-Widgets-2,20.973312887505497
santawho/oeffi-ng,40.420398594700174
eWloYW8/ZJU-classroom-stream,23.864517660462504
pkgforge-community/AM-HF-SYNC,19.886190549965487
sendmebits/ghostmail-ios,32.31933308265819
spzbrnmrc/Tiny-Vedas,20.851400859107848
Rink37/BOBJECT_engine,38.93335464272151
handeveloper1/Proxy,8.722221836092093
kmontag/macher,35.608787986722234
Monochrome-Inc/ZombiePanic-HL,44.67208296500736
m-bwela/m-bwela,21.16548853424891
BossSloth/SteamHunter-plugin,49.67843246985045
xiaoniucode/etp,43.46022747269883
voocel/mas,40.116760196028594
Luiz-Alcantara/Neural-Pixel,32.562847277776825
spongebob888/shadowquic,52.30355513792384
DefiTuna/tuna-sdk,39.631827644380685
xsSplater/Darktide_Enhanced_Descriptions_BETA,16.792303603523553
skyline69/balatro-mod-index,16.780322232126533
Glauedson/Glauedson,17.33434801567128
FidelityFramework/Firefly,43.75046885525968
NekoNyangYee/taehyun-blog-renewal,42.778200760131206
michelinus/api,31.785537486578257
sakura-talk-kingdum/sakurabot,33.20895623518605
growingio/design-system,40.15036950827701
tigerbeetle/devhubdb,24.425390010682598
garylin0969/trend-scraper,44.247456886917774
henrryqr/portafolio-programacion-numerica-2025,18.72804149629232
flarom/cohesion,40.288892062094845
kissenpvp/Pulvinar,20.26148216390863
Setout8/Book-Pen-Book,37.57681745062278
turgut090/traffic,18.353175953743637
zonary123/CobbleUtils,35.82181813403333
jabbott-iii/Udemy-Portfolio-Projects,39.05220368988877
MrAbolfazlNorouzi/iran-configs,36.05220368988877
gomlet674/G-MON-Hub,19.052205079957233
guess/claude_code,40.94819394256847
manyeyes/ManySpeech,53.285459916646744
EduJonathan/aprendendoCpp,34.21887058823351
nschainblatt/sicp,19.052205079957233
atopos31/llmio,56.99839008903071
O0111lqczeadxws/rss-scanner,36.05220368988877
aruljohn/crypto-prices,24.450263332384417
FireStar0507/BingWallpaper,36.05220368988877
soui4/swinx,40.29108464517246
cdilga/multiplayer-racer,35.48262486521904
yihad168/tv,26.209412590733734
AdeelWajid/iptv_validated_list,28.43776536990786
codeby-umar/codeby-umar,34.512193032968625
Karankoli17/LoveConfessionSite,30.385537486578258
alantang1977/aTV,41.116695976857876
zeldrisho/scoop-bucket,21.893278618318547
kandeng/blender_python_tutorial,36.45220368988877
opedromartinss/cotacoes-cafe,36.05220368988877
indmdev/Free-Telegram-Store-Bot,54.17920490899108
davidfue/RIF-Layoff-Dataset,17.353175953743637
CodaBool/stargazer,37.64119999028666
tablackburn/ScheduledTasksManager,28.307867583665633
vizoros/peer,25.251549144124944
cardenluo/ComfyUI-Apt_Preset,55.16349983671607
BA-CalderonMorales/my-life-as-a-dev,45.87722988634479
yanghui1-arch/mwin,39.05220368988877
RaydenLabs/genisys-data,12.630954117651546
SecondOrder-fun/sof-alpha,37.64119999028666
media-stack/gb2b-lead-finder,36.05220368988877
wavey0x/open-data,18.353175953743637
HAPPY-script/BLOX_FRUIT,19.052205079957233
Eyefyre/NYT-Connections-Answers,53.37676576419929
angelistaxin/auto-commit-angelistaxin-60s,17.353175953743637
nakulmitra/nakulmitra,17.353175953743637
ethan-yz-hao/github-stats,37.05220368988877
win-wiz/emoji-click,47.40603201198541
KeckObservatory/mKTL,41.735360824873055
d0midigi/hackherway,18.72804149629232
daniel7grant/time,21.26148216390863
harys722/github-daily-autocommit,42.283344208466396
TencentCloudBase/CloudBase-AI-ToolKit,61.1328053361098
soenneker/soenneker.extensions.httprequests,33.27442622101509
sss97133/nuke,42.778200760131206
indmdev/indmshopbot,29.66646354904391
fryagbye/tinderboxwithquarto,19.703168174590502
XStrikers/Discord-Bot,34.216678005155885
ACANX/MavenArtifact,24.60883845745204
adcontextprotocol/adcp,51.22531914906591
fraudiay79/strm,19.88661662135995
Wen-Xi-Goh/taxi-locations,12.630954117651546
bigbeartechworld/big-bear-universal-apps,31.348285186194666
tuxracer/matrix-fediverse-bridge,47.40603201198541
marajadesantelmo/dassa_operativo_stream,50.40495357223794
bigdargon/hostsVN-DeadDomainsLinter,21.26148216390863
pw56/web-puri-project,16.25878536950575
markvaaz/ScarletCore,33.8644932012314
xx25/perestroikabbs,36.05220368988877
Kanamo2525/prompt101,40.15036950827701
dpangestuw/Free-Proxy,27.484042873815916
ichenc/ichenc.github.io,13.630954117651546
AnterCreeper/pdaltmode,20.052205079957233
theneworacle/theneworacle.github.io,27.319390708804512
008Amonra/45dgof8_ComplianceSuite,13.630954117651546
cloudplains/jnsj,39.680034941742974
tscibilia/home-ops,42.59912971958796
prototbh/TEMP,20.052205079957233
malcolmramirez/supercollider,19.052205079957233
RuningFastChack/auto-bangumi,37.139555777080275
MangaBoya/mangaboya-nsfw,17.353175953743637
haoboww/RFGENS,36.05220368988877
bioinfo-gao/Python_Omics_DS,19.052205079957233
bettermyself/ai_learn,24.60883845745204
ya950/Agu-analysis,37.911942076265255
coder/mux,51.1859261684394
yanivsun/PushPaper,41.14929106852954
seehasung/SHS_Product_DB,36.05220368988877
yuler/rails-starter,31.915202920044216
BazilSuhail/Custom-Compiler,35.21887058823351
dmarx/papers-feed,41.15036950827701
