full_name,maintenance_efficiency_score
yylt/tul,59.75
liujunxiang0076/liu-site,62.55
DeltaPhi0/DeltaPhi0,61.5
Saleh7/BadTrafficData,61.75
KwanWaiPang/Awesome-VLN,56.8
constructive-io/constructive,58.8
pkgforge/bin,57.5
suptur/DNS-Filters,62.55
743859910/AdGuard_Home_Thirdparty_Rules,61.75
schardosin/astonish,62.55
cysyiu/WeatherMap,60.95
vpeinado263/infinito-jg,62.55
Xovee/cs-conf-stats,62.55
rix4uni/resolvers,59.599999999999994
genkin-he/news,62.55
projectbluefin/documentation,64.6
O-VanTho-programmer/ClassManagement,61.75
dxiv/dxiv,58.8
Misaka-blog/sfw-client,63.599999999999994
Sirraide/libbase,58.55
EzCE/ScreenSaver-CE,62.55
ddthien-coder/rustdesk_server_manager,61.75
aakalaw/aakalaw.github.io,57.75
stefanpejcic/OpenPanel,64.8
breadgrocery/bettergi-script-toolchain,61.75
1564307973/GC2000,62.55
soenneker/soenneker.utils.file.download,64.3
divengine/paramaribo-info-2025,59.75
argosnothing/nixos-config,58.8
VatsalyaGautam/VatsalyaGautam,61.75
netlas-io/netlas-free-iocs,61.349999999999994
ThuanyKamers/ThuanyKamers,61.75
asfaload/checksums,62.55
c2fc2f/dotfiles,62.55
ConradIrwin/conl-lsp,62.55
takutakahashi/agentapi-proxy,58.949999999999996
IAINBone-Data/layanan,61.75
mcneds/Album-Poster-Generator,60.95
ugliestie/wplace-tomsk,61.75
mochouaaaaa/nix-config,61.75
SoupDevs/BooruRamen,57.75
PakmanGames/ruby-mastermind,62.55
frankrichardhall/T3rn-Executor-bot,62.9
frankrichardhall/Units-Network-Airdrop-bot,62.9
frankrichardhall/Swisstronik-ERC721,64.15
frankrichardhall/T3rn-Airdrop-bot,62.9
frankrichardhall/Trailblazers-Taiko-Airdrop-bot,62.55
frankrichardhall/TEA-Testnet-Airdrop-bot,61.300000000000004
xiaobuding520/lunli,60.95
frankrichardhall/Rise-Chain-Airdrop-bot,61.300000000000004
frankrichardhall/Particle-Pioneer-Testnet-bot,62.9
frankrichardhall/Nillion-Airdrop-bot,62.9
frankrichardhall/Sowing-Taker-Farming-Airdrop-bot,62.7
frankrichardhall/OroSwap-Testnet-Airdrop-bot,61.300000000000004
frankrichardhall/Monad-Curvance-Pump4Gains-bot,61.300000000000004
gitrecon1455/fresh-proxy-list,60.8
frankrichardhall/Octra-Labs-Client-Installation-bot,62.55
frankrichardhall/Monad-Testnet-bot,61.300000000000004
frankrichardhall/PlumeNetwork-Testnet-bot,62.9
frankrichardhall/Humanity-Protocol-Airdrop-bot,62.35000000000001
drussell23/JARVIS,55.75
Indrudge/Indrudge,61.75
frankrichardhall/Izumi-Finance-Trailblazers-Taiko-Airdrop-bot,61.75
frankrichardhall/Kite-AI-Airdrop-bot,62.2
frankrichardhall/Gotchipus-NFT-Pharos-Network-Airdrop-bot,61.300000000000004
frankrichardhall/Huddle01-Testnet-Airdrop-bot,63.85
KotomiMitsutakaOgawa/AutoGreen,59.75
LEOCAR0210/Solver-App,62.55
glycerine/rpc25519,62.0
FinnHeathfield/Soundbath-2.1,62.55
henrikbykvist/fpl-feed-raakens-disipler,61.75
Nat3z/OpenGameInstaller,63.599999999999994
hafrey1/GeoLite-IP,61.75
soenneker/soenneker.semantickernel.pool,61.75
surisuririsu/gakumas-tools,63.599999999999994
Damocles-fr/PPJF,60.0
Pedrohss2/cardapio-backend,61.75
Zanue/MDT-dist,63.599999999999994
t23-02/bongda,59.75
paul-russo/blots-lang,62.8
robertringler/QRATUM,55.75
petr0leum/github_actions_dashboard,62.55
rspack-contrib/rspack-dev-server,62.0
kungbirdmed/truthverify-site,61.75
Gabrieltrinidad0101/informacion-dominicana,62.55
wanghz/Honeybee,60.8
indmdev/Free-Telegram-Store-Bot,63.599999999999994
penhandev/AutoAiVPN,56.8
