full_name,community_vitality_score
wavey0x/open-data,16.36204646611214
HAPPY-script/BLOX_FRUIT,16.36204646611214
Eyefyre/NYT-Connections-Answers,45.86243595391085
angelistaxin/auto-commit-angelistaxin-60s,16.36204646611214
nakulmitra/nakulmitra,16.36204646611214
ethan-yz-hao/github-stats,31.36204646611214
win-wiz/emoji-click,35.084808189238835
KeckObservatory/mKTL,39.968665129704135
d0midigi/hackherway,42.43888256589833
daniel7grant/time,16.36204646611214
harys722/github-daily-autocommit,49.376039459370176
TencentCloudBase/CloudBase-AI-ToolKit,84.9250992602605
soenneker/soenneker.extensions.httprequests,41.36204646611214
sss97133/nuke,34.11457214366801
indmdev/indmshopbot,54.502857355101554
fryagbye/tinderboxwithquarto,50.86226964393738
XStrikers/Discord-Bot,36.33369365381361
ACANX/MavenArtifact,33.18136697864213
adcontextprotocol/adcp,65.94080954499644
fraudiay79/strm,18.81514540467627
Wen-Xi-Goh/taxi-locations,16.36204646611214
bigbeartechworld/big-bear-universal-apps,23.51501864441268
tuxracer/matrix-fediverse-bridge,43.24394471771947
marajadesantelmo/dassa_operativo_stream,32.16710861793328
bigdargon/hostsVN-DeadDomainsLinter,16.36204646611214
pw56/web-puri-project,44.34843360853235
markvaaz/ScarletCore,22.535175987850813
xx25/perestroikabbs,16.36204646611214
Kanamo2525/prompt101,41.36204646611214
dpangestuw/Free-Proxy,69.31637998464655
ichenc/ichenc.github.io,31.36204646611214
AnterCreeper/pdaltmode,33.79553560796546
theneworacle/theneworacle.github.io,26.816436410934394
008Amonra/45dgof8_ComplianceSuite,31.36204646611214
cloudplains/jnsj,20.225704720600348
tscibilia/home-ops,46.50846063472869
prototbh/TEMP,16.36204646611214
malcolmramirez/supercollider,31.36204646611214
RuningFastChack/auto-bangumi,35.25685755402741
MangaBoya/mangaboya-nsfw,22.84844296065281
haoboww/RFGENS,16.36204646611214
bioinfo-gao/Python_Omics_DS,31.36204646611214
bettermyself/ai_learn,17.16710861793328
ya950/Agu-analysis,26.48235385520761
coder/mux,85.57027994032596
yanivsun/PushPaper,16.36204646611214
seehasung/SHS_Product_DB,16.36204646611214
yuler/rails-starter,20.490834982445946
BazilSuhail/Custom-Compiler,41.36204646611214
dmarx/papers-feed,41.26938362818176
GaiaEyesHQ/gaiaeyes-media,31.36204646611214
cjchandler/last_update_repo,31.36204646611214
bq2015/FreeProxies,73.40534538285473
andykimpe1/andykimpe1.github.io,31.36204646611214
bq2015/FreeProxies,73.40534538285473
andykimpe1/andykimpe1.github.io,31.36204646611214
743859910/AdGuard_Home_Official-built-in_Rules,31.36204646611214
noworneverev/leetcode-api,65.74114007585777
pixperk/chug,35.88952429356128
tyang816/tyang816,18.202909937631503
twitOne/RPZ-Blocklists,40.181101611191316
jhelvy/potus-econ-scorecard,23.174557125332967
Dvd848/wiki-game,41.36204646611214
nebula-site/nebula-site.github.io,36.33369365381361
pstAmbition/DailyArXiv_Multimodal,55.621913654197115
MSCoreLab/BYU-Core-MS-Lab,42.43888256589833
saveas446/LegacyBuilder,31.36204646611214
yylt/tul,54.12331582964414
liujunxiang0076/liu-site,16.36204646611214
DeltaPhi0/DeltaPhi0,41.36204646611214
Saleh7/BadTrafficData,33.2029099376315
KwanWaiPang/Awesome-VLN,47.64671942563517
constructive-io/constructive,54.67247674657109
pkgforge/bin,34.620207556497405
suptur/DNS-Filters,16.36204646611214
743859910/AdGuard_Home_Thirdparty_Rules,35.35658213720389
schardosin/astonish,35.49420227401984
cysyiu/WeatherMap,16.36204646611214
vpeinado263/infinito-jg,16.36204646611214
Xovee/cs-conf-stats,58.006964024880666
rix4uni/resolvers,57.818753958813694
genkin-he/news,22.535175987850813
projectbluefin/documentation,63.291396244201394
O-VanTho-programmer/ClassManagement,16.36204646611214
dxiv/dxiv,46.88463688067023
Misaka-blog/sfw-client,50.77748831020722
Sirraide/libbase,38.51501864441268
EzCE/ScreenSaver-CE,33.79553560796546
ddthien-coder/rustdesk_server_manager,31.36204646611214
aakalaw/aakalaw.github.io,34.92627798160861
stefanpejcic/OpenPanel,83.7638235545331
breadgrocery/bettergi-script-toolchain,33.79553560796546
1564307973/GC2000,16.36204646611214
soenneker/soenneker.utils.file.download,41.36204646611214
divengine/paramaribo-info-2025,32.43888256589833
argosnothing/nixos-config,46.88463688067023
VatsalyaGautam/VatsalyaGautam,48.58395121011398
netlas-io/netlas-free-iocs,35.88952429356128
ThuanyKamers/ThuanyKamers,16.36204646611214
asfaload/checksums,31.36204646611214
c2fc2f/dotfiles,41.36204646611214
ConradIrwin/conl-lsp,32.43888256589833
takutakahashi/agentapi-proxy,35.69030535334178
IAINBone-Data/layanan,31.36204646611214
mcneds/Album-Poster-Generator,33.2029099376315
ugliestie/wplace-tomsk,51.482353855207606
mochouaaaaa/nix-config,32.43888256589833
SoupDevs/BooruRamen,44.74687080735812
PakmanGames/ruby-mastermind,31.36204646611214
frankrichardhall/T3rn-Executor-bot,42.43888256589833
frankrichardhall/Units-Network-Airdrop-bot,41.36204646611214
frankrichardhall/Swisstronik-ERC721,41.36204646611214
frankrichardhall/T3rn-Airdrop-bot,45.25685755402741
frankrichardhall/Trailblazers-Taiko-Airdrop-bot,41.36204646611214
frankrichardhall/TEA-Testnet-Airdrop-bot,41.36204646611214
xiaobuding520/lunli,16.36204646611214
frankrichardhall/Rise-Chain-Airdrop-bot,43.79553560796546
frankrichardhall/Particle-Pioneer-Testnet-bot,42.43888256589833
frankrichardhall/Nillion-Airdrop-bot,43.79553560796546
frankrichardhall/Sowing-Taker-Farming-Airdrop-bot,45.25685755402741
frankrichardhall/OroSwap-Testnet-Airdrop-bot,45.25685755402741
frankrichardhall/Monad-Curvance-Pump4Gains-bot,46.33369365381361
gitrecon1455/fresh-proxy-list,66.27105228501429
frankrichardhall/Octra-Labs-Client-Installation-bot,45.25685755402741
frankrichardhall/Monad-Testnet-bot,42.43888256589833
frankrichardhall/PlumeNetwork-Testnet-bot,49.15166864194268
frankrichardhall/Humanity-Protocol-Airdrop-bot,54.83526620607381
drussell23/JARVIS,41.62165496621887
Indrudge/Indrudge,41.36204646611214
frankrichardhall/Izumi-Finance-Trailblazers-Taiko-Airdrop-bot,48.495408847701874
frankrichardhall/Kite-AI-Airdrop-bot,41.36204646611214
frankrichardhall/Gotchipus-NFT-Pharos-Network-Airdrop-bot,41.36204646611214
frankrichardhall/Huddle01-Testnet-Airdrop-bot,41.36204646611214
KotomiMitsutakaOgawa/AutoGreen,16.36204646611214
LEOCAR0210/Solver-App,26.36204646611214
glycerine/rpc25519,40.608046267186296
FinnHeathfield/Soundbath-2.1,16.36204646611214
henrikbykvist/fpl-feed-raakens-disipler,16.36204646611214
Nat3z/OpenGameInstaller,53.33314444371327
hafrey1/GeoLite-IP,37.690346695880734
soenneker/soenneker.semantickernel.pool,43.2029099376315
surisuririsu/gakumas-tools,66.89908048706172
Damocles-fr/PPJF,46.120609508937065
Pedrohss2/cardapio-backend,16.36204646611214
Zanue/MDT-dist,44.663216841285234
t23-02/bongda,23.174557125332967
paul-russo/blots-lang,42.62031144010486
robertringler/QRATUM,23.081846649966224
petr0leum/github_actions_dashboard,35.25685755402741
rspack-contrib/rspack-dev-server,62.561686233683645
kungbirdmed/truthverify-site,31.36204646611214
Gabrieltrinidad0101/informacion-dominicana,17.438882565898332
wanghz/Honeybee,44.502857355101554
